"name","surname"
"Miss","Martian"
"Mister","Fantastic"
"Mister","Freeze"
"Mister","Knife"
"Mister","Mxyzptlk"
"Mister","Sinister"
"Mister","Zsasz"
"Mohinder","Suresh"
"Molecule","Man"
"Molten","Man"
"Monica","Dawson"
"Moon","Knight"
"Moses","Magnum"
"Mr","Immortal"
"Mr","Incredible"
"Multiple","Man"
"Naruto","Uzumaki"
"Nathan","Petrelli"
"Nick","Fury"
"Niki","Sanders"
"Nina","Theroux"
"Omega","Red"
"Paul","Blart"
"Peter","Petrelli"
"Phantom","Girl"
"Phantom","Stranger"
"Plastic","Lad"
"Plastic","Man"
"Poison","Ivy"
"Power","Girl"
"Power","Man"
"Professor","Zoom"
"Purple","Man"
"Rachel","Pirzad"
"Red","Arrow"
"Red","Hood"
"Red","Hulk"
"Red","Mist"
"Red","Robin"
"Red","Skull"
"Red","Tornado"
"Renata","Soliz"
"Rick","Flag"
"Rip","Hunter"
"Rocket","Raccoon"
"Saturn","Girl"
"Savage","Dragon"
"Scarlet","Spider"
"Scarlet","Witch"
"Sebastian","Shaw"
"Shadow","King"
"Shadow","Lass"
"Shrinking","Violet"
"Silk","Spectre"
"Silver","Surfer"
"Solomon","Grundy"
"Space","Ghost"
"Stephanie","Powell"
"Swamp","Thing"
"The","Comedian"
"The","Presence"
"Thor","Girl"
"Tiger","Shark"
"Tracy","Strauss"
"Triplicate","Girl"
"Valerie","Hart"
"Violet","Parr"
"War","Machine"
"White","Canary"
"White","Queen"
"Winter","Soldier"
"Wiz","Kid"
"Wonder","Girl"
"Wonder","Man"
"Wonder","Woman"
"Wyatt","Wingfoot"
"Yellow","Claw"
